,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,star_point,blog_review_qty,blog_review_text
12552,뉴욕상하이컨설팅그룹,중식,중국음식/중국집,중식 음식점업,명동,37.56761415,126.9884022,뉴욕상하이컨설팅그룹 중식 중국음식 중국집 중식 음식점업,명동%20뉴욕상하이컨설팅그룹,https://m.place.naver.com/restaurant/1610144652,4.38,53,"[<span class=""WoYOw"">이삭토스트 명동성당점            </span>]"
12752,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56686688,126.9832279,스타벅스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스,https://m.place.naver.com/restaurant/1465848077,null,null,null
12881,카페드파리,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56203961,126.9855913,카페드파리 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페드파리,https://m.place.naver.com/restaurant/38251688,4.46,27,"[<span class=""WoYOw"">주차불가능</span>]"
12909,타이거슈가,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56407608,126.9845563,타이거슈가 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20타이거슈가,https://m.place.naver.com/restaurant/1150268111,4.29,64,"[<span class=""WoYOw"">항상 최선을 다해 정성껏모시겟습니다 딸기봉봉과 다양한봉봉을 더욱

신선하고 알차게 준비하겟습니다</span>]"
13007,락희옥,분식,국수/만두/칼국수,분식 및 김밥 전문점,명동,37.56841029,126.9762339,락희옥 분식 국수 만두 칼국수 분식 및 김밥 전문점,명동%20락희옥,https://m.place.naver.com/restaurant/36620601,4.33,5,"[<span class=""WoYOw"">타이거슈가의 특제 흑당은 대만산 사탕수수의 자즙을 완벽한 비율로 볶아냅니다. 더욱 건강하고 부담없는 달콤한 타이거슈가 흑당밀크티가 완벽해 질 수 있었던 이유! 1. 무방부제 타피오카 2. 100% 국내산 A급 우유 3. 유럽 정통의 독일제 프리미
엄크림 4. 4시간마다 새로 끓여 낸 부드럽고 쫄깃한 버블 (보바/쩐주) 5. 자체 제작한 완벽한 흑당 시럽으로 완벽한 맛과 비주얼 선사 전 세계의 타이거슈가는 체계적이고 전문적 레시피 공유와 맛의 획일성을 위해 대만 현지방문을 통한 본사의 트레이닝을 
받고 있습니다. 대만, 홍콩, 싱가폴 등에서 줄서서 먹는 타이거슈가! 이제 한국에서 편하게 즐기세요:)</span>]"
13106,투썸플레이스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56125355,126.9853416,투썸플레이스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20투썸플레이스,https://m.place.naver.com/restaurant/36948845,4.38,277,"[<span class=""WoYOw"">""콜키지프리 모던 한식주점"" 마포 본점, 을지로점, 광화문 점 세 곳에서 락희옥의 맛과 멋을 즐기실 수 있습니다.  락희옥은 '즐거움과 기쁨이 있는 집'이라는 뜻입니다. 누구나 편안하고 기분 좋게 마실만한 곳 하면 떠오르는 곳, 애주가도 미식가도 만족하는 곳
이 락희옥이 만들어가고 싶은 한식주점의 모습입니다.  다양한 한식 메뉴에 와인,크래프트 맥주 등 주류 메뉴도 풍성합니다. 온갖 술을 사랑하는 주당인 사장이 운영하는 곳이기에 애주가들을위해 개업 초기부터 콜키지프리 정책도 시행하고 있습니다. 그래서 메뉴들
도 술을 부르는 안주 겸 식사로 꾸몄습니다. 배부르지만 술 한잔하러 온 손님, 배가 고파서 식사부터 해결하려는 손님, 해장하러 온 손님, 회식하러 온 손님 각각에 맞춘 메뉴를 가격대별로 구성하고 있습니다. 따라서 락희옥의 메뉴는 안주부터 일...</span>]"
13719,동해일식,일식/수산물,음식점-일식,일식 음식점업,명동,37.56562662,126.9794188,동해일식 일식 수산물 음식점-일식 일식 음식점업,명동%20동해일식,https://m.place.naver.com/restaurant/18687708,4.38,64,"[<span class=""WoYOw"">안녕하세요 투썸플레이스 서울시청점입니다 네이버오더 가능합니다 일부 홀케익은 판매가와 다를 수 있으며, 재고부족시 자동취소됨을 알려드립니다. 홀케이크주문시 픽업시간을 상세히 기재해주세요. 픽업(예약) 시간이 없을경우 자동취소됨을 알려드립니다. ****네이버오더 결제시, 투썸하트 적립은 불가하며, 취소 후 매장 현장결제가 불가합니다. 신중한 선택 및 결제 부탁드립니다. ****</span>]"
13751,79네수육국밥&보쌈,한식,족발/보쌈전문,한식 음식점업,명동,37.56713039,126.9803492,79네수육국밥&보쌈 한식 족발 보쌈전문 한식 음식점업,명동%2079네수육국밥&보쌈,https://m.place.naver.com/restaurant/1804940007,4.21,5,[]
13936,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56563319,126.9833126,스타벅스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스,https://m.place.naver.com/restaurant/1465848077,4.25,1,[]
13958,김연수해물나라,일식/수산물,해물찜/탕전문,한식 음식점업,명동,37.56785395,126.981709,김연수해물나라 일식 수산물 해물찜 탕전문 한식 음식점업,명동%20김연수해물나라,https://m.place.naver.com/restaurant/1354550725,4.46,27,"[<span class=""WoYOw"">주차불가능</span>]"
14885,가야삼계탕,닭/오리요리,삼계탕전문,한식 음식점업,명동,37.56648865,126.9884967,가야삼계탕 닭 오리요리 삼계탕전문 한식 음식점업,명동%20가야삼계탕,https://m.place.naver.com/restaurant/11865428,4.48,74,[]
15253,버드더카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.55911035,126.9844426,버드더카페 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20버드더카페,https://m.place.naver.com/restaurant/1694673138,4.48,43,"[<span class=""WoYOw"">상표등록으로 인하여 (구)가야삼계탕에서 ""신라원삼계탕""으로 상호 변경되었습니다.
저희 ""신라원삼계탕""은 웰빙 보양식입니다. 한번 방문하시면 반드시 또 오실 거에요.</span>]"
15440,커피한약방,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56656151,126.9885863,커피한약방 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20커피한약방,https://m.place.naver.com/restaurant/1614417324,4.32,77,"[<span class=""WoYOw"">유니크하고 고급스러운 디자인카페, 편안하고 감성적인 분위기가 바쁜 명동거리의 분위기에서 한발 벗어난 색다른 휴식의 즐거움으로 다가갈 것입니다.</span>]"
15445,유가네닭갈비명동1호점,닭/오리요리,닭갈비전문,한식 음식점업,명동,37.5633449,126.9854491,유가네닭갈비명동1호점 닭 오리요리 닭갈비전문 한식 음식점업,명동%20유가네닭갈비명동1호점,https://m.place.naver.com/restaurant/1604034427,4.42,"2,273",[]
15465,신촌서서갈비,한식,갈비/삼겹살,한식 음식점업,명동,37.56220542,126.9902185,신촌서서갈비 한식 갈비 삼겹살 한식 음식점업,명동%20신촌서서갈비,https://m.place.naver.com/restaurant/1638553897,null,null,null
15541,CHAI797,중식,중국음식/중국집,중식 음식점업,명동,37.56761415,126.9884022,CHAI797 중식 중국음식 중국집 중식 음식점업,명동%20CHAI797,https://m.place.naver.com/restaurant/19819954,4.29,4,"[<span class=""WoYOw"">신촌서서갈비 충무로점 맛잇는 갈비집 입니다</span>]"
15758,하대포,한식,갈비/삼겹살,한식 음식점업,명동,37.56721409,126.9816951,하대포 한식 갈비 삼겹살 한식 음식점업,명동%20하대포,https://m.place.naver.com/restaurant/37021034,4.35,356,"[<span class=""WoYOw"">세련되고 감각적인 공간 
재료 본연의 풍미를 살린 건강한 중식과 수제딤섬
Chinese Cuisine Chai797</span>]"
15863,코드쿠키,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56656218,126.9886655,코드쿠키 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20코드쿠키,https://m.place.naver.com/restaurant/1893242210,4.44,231,"[<span class=""WoYOw"">반갑다 하대포는 낭만과 감각이 깃든 통구이 전문점입니다. 목살, 삼겹살, 천겹살은 14일 이상 저온숙성한 규격돈입니다. 스지된장전골, 스지볶음, 오차즈케까지 다양한 요리군을 선보여 여러 가지 시도를 곁들였습니다.</span>]"
15873,스무디킹,커피점/카페,생과일주스전문점,비알콜 음료점업,명동,37.56144059,126.9892893,스무디킹 커피점 카페 생과일주스전문점 비알콜 음료점업,명동%20스무디킹,https://m.place.naver.com/restaurant/1326852694,4.49,46,[]
15930,할리스커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56836345,126.9822794,할리스커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20할리스커피,https://m.place.naver.com/restaurant/33811405,4.35,1,"[<span class=""WoYOw"">오직 스무디킹에서만 만날 수 있는 뛰어난 맛과 영양밸런스를 갖춘 오리지널 스무디로 건강하고 활기찬 라이프스타일을 즐기세요!</span>]"
16090,던카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56360613,126.9843929,던카페 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20던카페,https://m.place.naver.com/restaurant/1189692512,4.41,21,"[<span class=""WoYOw"">다양한 토양과 기후에서 자란 커피 원두는 그 속에 각기 다른 맛과 향의 비밀을 숨기고 있습니다. 생두를 로스팅하여 에스프레소를 만드는 과정은 단순하고 평범해 보이지만, 사실은 로스팅과 추출법 등의 미묘하고 작은 차이가 커피 맛을 변화시킵니다. 원두에 숨겨
진 이러한 커피의 비밀을 하나 하나 밝혀가면서 많은 사람들이 커피와 함께 소중한 순간을 즐기도록 해주는 것이 바로 할리스가 추구하는 ‘커피의 즐거움’입니다. 오늘도 할리스는 전세계의 커피 산지를 연구하고, 원두 본연의 맛을 살리기 위한 수많은 블랜딩을 개발
하는 등 다양한 노력을 지속하고 있습니다. 커피가 주는 아름다움을 보다 많은 고객들이 즐길 수 있도록, 매 순간 의미 있는 작은 차이를 만들어가는 할리스가 되겠습니다.</span>]"
16390,BISTRO수방J,양식,기타전문서양음식점,서양식 음식점업,명동,37.5643412,126.9839527,BISTRO수방J 양식 기타전문서양음식점 서양식 음식점업,명동%20BISTRO수방J,https://m.place.naver.com/restaurant/1803258950,4.16,11,"[<span class=""WoYOw"">9층에 위치하여 씨티뷰가 인상적입니다. 오후 2시까지는 카페로 영업되며 이후 시간에는 예약을 통해 모임, 회식, 이벤트 등 다양하게 활용될 수 있도록 장소를 오픈하고 있습니다. 
여성의류쇼핑몰 / 셀프제품촬영 / 셀프스냅촬영 /브라이덜샤워 / 생일파티 / 원데이클래스 등</span>]"
16572,리틀하노이,별식/퓨전요리,동남아음식전문점,기타 외국식 음식점업,명동,37.56351617,126.9854581,리틀하노이 별식 퓨전요리 동남아음식전문점 기타 외국식 음식점업,명동%20리틀하노이,https://m.place.naver.com/restaurant/11698311,null,null,null
16622,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56762308,126.9789728,스타벅스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스,https://m.place.naver.com/restaurant/1465848077,4.31,120,"[<span class=""WoYOw"">명동에서 10년 이상 운영해온 리틀하노이입니다..어느새 제일 작지만 오래된 쌀국수집이 됐습니다. 
정성을 다한 베트남 음식의 담백한 맛, 베트남 고추의 매운맛을 느껴보시기 바랍니다.</span>]"
16725,쿠차라,양식,기타전문서양음식점,서양식 음식점업,명동,37.56840963,126.9782375,쿠차라 양식 기타전문서양음식점 서양식 음식점업,명동%20쿠차라,https://m.place.naver.com/restaurant/1162159175,4.46,27,"[<span class=""WoYOw"">주차불가능</span>]"
16773,육쌈냉면,한식,냉면집,한식 음식점업,명동,37.5631841,126.9835157,육쌈냉면 한식 냉면집 한식 음식점업,명동%20육쌈냉면,https://m.place.naver.com/restaurant/33253846,4.58,93,"[<span class=""WoYOw"">Eat Fresh, Stay Healthy
신선한 재료로 매일 조리하는 건강한 멕시칸
쿠차라는 스페인어로 숟가락을 뜻하며, 내가 고르는 재료로 나만의 시그니처 메뉴를 만들 수 있는 멕시칸 브랜드입니다.</span>]"
17024,이디야커피,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56648097,126.9865498,이디야커피 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20이디야커피,https://m.place.naver.com/restaurant/1329675711,4.25,40,[]
17028,숙이네분식,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56741517,126.9778549,숙이네분식 분식 라면김밥분식 분식 및 김밥 전문점,명동%20숙이네분식,https://m.place.naver.com/restaurant/1956988601,4.4,8,"[<span class=""WoYOw"">안녕하세요^^
이디야 서울 시청점입니다.</span>]"
17107,비꼴로,양식,스파게티전문점,서양식 음식점업,명동,37.56351617,126.9854581,비꼴로 양식 스파게티전문점 서양식 음식점업,명동%20비꼴로,https://m.place.naver.com/restaurant/31949211,4.16,1,[]
17296,맥도날드,패스트푸드,패스트푸드,그외 기타 음식점업,명동,37.56416598,126.9845324,맥도날드 패스트푸드 패스트푸드 그외 기타 음식점업,명동%20맥도날드,https://m.place.naver.com/restaurant/18688435,4.09,107,"[<span class=""WoYOw"">이태리식당 비꼴로 소금과 이스트 만 으로 오래 발효 시켜 만든 빵, 천연 재료만으로 최대의 품미를 끌어 낸 파스타, 마리네이드 없이 고기의 품질을 최대로 살린 스케이크, 이탈리아 현지 와이너리 에서 직수입한 50여종의 와인, 스페셜티빈을 직접 로스팅해서
 준비한 커피, 홈메이트 스타일로 만든 후식... 풍성한 환대를 위해 노력하겠습니다.</span>]"
17370,대독장,한식,한식/백반/한정식,한식 음식점업,명동,37.56713039,126.9803492,대독장 한식 한식 백반 한정식 한식 음식점업,명동%20대독장,https://m.place.naver.com/restaurant/1853816448,4.4,121,[]
17432,동원참치브이아이피,일식/수산물,참치전문점,일식 음식점업,명동,37.56743404,126.9842164,동원참치브이아이피 일식 수산물 참치전문점 일식 음식점업,명동%20동원참치브이아이피,https://m.place.naver.com/restaurant/1983489959,4.6,28,[]
17742,뚱뚱이족발,한식,족발/보쌈전문,한식 음식점업,명동,37.55980664,126.98578,뚱뚱이족발 한식 족발 보쌈전문 한식 음식점업,명동%20뚱뚱이족발,https://m.place.naver.com/restaurant/11711082,4.53,286,"[<span class=""WoYOw"">대한민국 1등 참치전문점, VIP참치! VIP참치 전 매장은 모든 메뉴에 100% 최고급 참다랑어 참치만을 사용하는 국내 유일한 매장으로 새로운 참치 음식문화를 선도하고 있으며, 전국 매출1위를 달성하는 등 참치전문점 업계를 리드하고 있습니
다. VIP참치 코리아나호텔점은 회식자리, 미팅, 비즈니스 등 많은 인원이 편하게 드실 수 있도록 다양한 룸을 갖추고 있으며, 고객분들 모두 편하고 부담없이 다녀가실 수 있도록 노력하고 있습니다. 1. VIP참치는 참다랑어 참치만을 충분하게 드실 수
있도로 제공합니다. 2. VIP참치 직영 전매장에서는 일식식당 직원들의 봉사료 문화를 획기적으로 개선했습니다. 참치집에 가셔서 실장님과 서빙직원에게 팁을 줘야 손님 대접을 받는것이 일식(참치식당)집 식당의 잘못된 관행이었습니다. VI...</span>]"
17743,카페IMT,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56683973,126.988458,카페IMT 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20카페IMT,https://m.place.naver.com/restaurant/37220584,4.37,9,"[<span class=""WoYOw"">명동거리 내에 자리잡은 족발 전문점 명동 뚱뚱이족발의 본점입니다. TV 맛집 프로그램에서도 소개된 적이 있고, 쫀득거리고 잡내가 나지 않는 족발로 명동에서는 유명한데요. 굴과 보쌈김치, 무말랭이, 배추 등과 함께 싸먹는 부드러운 보쌈이 유명합니다. 전통의 족발과 보쌈에 이어 신메뉴도 출시해서 인기몰이 중입니다. 매콤하게 양념한 매콤 족발!!! 또 매콤족발과 찰떡 궁합인 크런치 주먹밥!!!</span>]"
18099,코인,양식,정통양식/경양식,서양식 음식점업,명동,37.56505479,126.9841581,코인 양식 정통양식 경양식 서양식 음식점업,명동%20코인,https://m.place.naver.com/restaurant/31575946,4.21,8,"[<span class=""WoYOw"">벤티 사이즈 아메리카노를 2800원에!
맛있고 신선한 생과일 쥬스를 3000부터!
아침에는 샌드위치와 아메리카노를 3500원에!</span>]"
18611,베르자뎅,부페,종합부페,,명동,37.56437547,126.9858426,베르자뎅 부페 종합부페 ,명동%20베르자뎅,https://m.place.naver.com/restaurant/21037859,4.39,234,"[<span class=""WoYOw"">1993년 오픈해 유러피안 앤티크 스타일의 실내 분위기와 테이블 서비스를 제공하는 명동의 명소입니다. 핸드 드립 및 에스프레소 커피와 와플, 케이크, 빙수 등 다양한 디저트가 준비되어있습니다.
명동1호점과 2호점으로 나누어져있습니다.</span>]"
18670,하나은행,한식,한식/백반/한정식,한식 음식점업,명동,37.56514308,126.9849946,하나은행 한식 한식 백반 한정식 한식 음식점업,명동%20하나은행,https://m.place.naver.com/restaurant/12110999,3.85,62,"[<span class=""WoYOw"">명동 로얄호텔 내에  자리한 씨 푸드와 다양한 바비큐 그릴이 유명한 뷔페식 레스토랑입니다. 정돈되고 깔끔한 인테리어로 연회나 모임으로 인기 있는 곳이라고 하는데요.  해산물을 비롯하여 스시, 롤 등 다양한 씨 푸드와 즉석에서 구워내는 바비큐 그릴 요리가 인기이며 다양한 사천 식 중식 요리도 맛볼 수 있지요.  요리와 함께 주류도 준비되어 있어 맥주는 만원, 막걸리는 만삼천원을 지불하면 무제한 즐길 수 있습니다.</span>]"
18806,배스킨라빈스31,패스트푸드,아이스크림판매,제과점업,명동,37.56881486,126.9782094,배스킨라빈스31 패스트푸드 아이스크림판매 제과점업,명동%20배스킨라빈스31,https://m.place.naver.com/restaurant/30824668,null,null,null
19141,상우,한식,한식/백반/한정식,한식 음식점업,명동,37.56660558,126.9884725,상우 한식 한식 백반 한정식 한식 음식점업,명동%20상우,https://m.place.naver.com/restaurant/1815441175,4.44,30,"[<span class=""WoYOw"">배스킨라빈스 안국역점입니다. 네이버 스마트주문에서 간편하게 주문하세요!</span>]"
19228,KEB하나은행,기타음식업,구내식당/자급식음식점,기관구내식당업,명동,37.56514308,126.9849946,KEB하나은행 기타음식업 구내식당 자급식음식점 기관구내식당업,명동%20KEB하나은행,https://m.place.naver.com/restaurant/12110999,null,null,null
19354,포엠,양식,정통양식/경양식,서양식 음식점업,명동,37.56311397,126.983743,포엠 양식 정통양식 경양식 서양식 음식점업,명동%20포엠,https://m.place.naver.com/restaurant/19923805,null,null,null
19439,골목집,한식,한식/백반/한정식,한식 음식점업,명동,37.56422285,126.9848599,골목집 한식 한식 백반 한정식 한식 음식점업,명동%20골목집,https://m.place.naver.com/restaurant/19872958,4.47,776,"[<span class=""WoYOw"">홈메이드 방식 디저트카페로 와플,빙수,파르페등 디저트를 판매합니다
*다양한 혜택 &amp; 적립이 가능한 네이버 페이로 결제 가능합니다!*</span>]"
19460,동원브이아이피참치,일식/수산물,참치전문점,일식 음식점업,명동,37.5679764,126.9781529,동원브이아이피참치 일식 수산물 참치전문점 일식 음식점업,명동%20동원브이아이피참치,https://m.place.naver.com/restaurant/1983489959,4.43,51,"[<span class=""WoYOw"">한적한 골목 안에 자리한 한식당입니다. 양푼 냄비에 돼지고기, 신김치와 라면사리를 넣고 끓인 김치찌개가 인기메뉴인데, 갓 지은 돌솥밥이 함께 나온다고 하네요. 식사 후에는 구수한 숭늉도 즐길 수 있습니다.</span>]"
19494,파리바게뜨,제과제빵떡케익,제과점,제과점업,명동,37.56647828,126.9810033,파리바게뜨 제과제빵떡케익 제과점 제과점업,명동%20파리바게뜨,https://m.place.naver.com/restaurant/1999413846,4.53,286,"[<span class=""WoYOw"">대한민국 1등 참치전문점, VIP참치! VIP참치 전 매장은 모든 메뉴에 100% 최고급 참다랑어 참치만을 사용하는 국내 유일한 매장으로 새로운 참치 음식문화를 선도하고 있으며, 전국 매출1위를 달성하는 등 참치전문점 업계를 리드하고 있습니
다. VIP참치 코리아나호텔점은 회식자리, 미팅, 비즈니스 등 많은 인원이 편하게 드실 수 있도록 다양한 룸을 갖추고 있으며, 고객분들 모두 편하고 부담없이 다녀가실 수 있도록 노력하고 있습니다. 1. VIP참치는 참다랑어 참치만을 충분하게 드실 수
있도로 제공합니다. 2. VIP참치 직영 전매장에서는 일식식당 직원들의 봉사료 문화를 획기적으로 개선했습니다. 참치집에 가셔서 실장님과 서빙직원에게 팁을 줘야 손님 대접을 받는것이 일식(참치식당)집 식당의 잘못된 관행이었습니다. VI...</span>]"
19565,원주추어탕,한식,추어탕전문,한식 음식점업,명동,37.56744671,126.9783752,원주추어탕 한식 추어탕전문 한식 음식점업,명동%20원주추어탕,https://m.place.naver.com/restaurant/36905488,4.37,9,"[<span class=""WoYOw"">파리바게뜨 무교점입니다. 네이버 스마트주문에서 간편하게 주문하세요!</span>]"
19597,순남시래기,한식,한식/백반/한정식,한식 음식점업,명동,37.56188987,126.9838955,순남시래기 한식 한식 백반 한정식 한식 음식점업,명동%20순남시래기,https://m.place.naver.com/restaurant/36831343,4.38,10,"[<span class=""WoYOw"">국내산 미꾸라지를 사용하여 매일 끓이며 전북 김제 공덕 농협의 갓 도정한 쌀로 지은 밥과 매일 담그는 겉저리와
깍두기를 정성껏 준비하고 있습니다. . . . .</span>]"
19631,바구트,한식,한식/백반/한정식,한식 음식점업,명동,37.56481173,126.9841841,바구트 한식 한식 백반 한정식 한식 음식점업,명동%20바구트,https://m.place.naver.com/restaurant/1054652765,4.37,294,"[<span class=""WoYOw"">5만원이상주문시 옛날과자 1봉지 증정</span>]"
19860,HotelDouce오뗄두스,유흥주점,빠/카페/스탠드빠,일반유흥 주점업,명동,37.56840963,126.9782375,HotelDouce오뗄두스 유흥주점 빠 카페 스탠드빠 일반유흥 주점업,명동%20HotelDouce오뗄두스,https://m.place.naver.com/restaurant/31564561,null,null,null
20183,라화쿵부,양식,정통양식/경양식,서양식 음식점업,명동,37.56225515,126.9855091,라화쿵부 양식 정통양식 경양식 서양식 음식점업,명동%20라화쿵부,https://m.place.naver.com/restaurant/629293540,4.41,424,"[<span class=""WoYOw"">동경제과 출신으로 프랑스에서도 인정받은 셰프가 운영하는 디저트 카페 입니다. 오뗄두스는 프랑스어로 달콤한 호텔이라는 뜻이랍니다. 이 곳의 디저트들은 셰프만의 개성있는 맛과 단순한 디자인이 장점이며, 유통기한을 짧게하여 만들기 때문에 신선한 케익을 맛볼 수 있습니다.</span>]"
20269,웰빙마을정육식당명동,한식,갈비/삼겹살,한식 음식점업,명동,37.56481173,126.9841841,웰빙마을정육식당명동 한식 갈비 삼겹살 한식 음식점업,명동%20웰빙마을정육식당명동,https://m.place.naver.com/restaurant/11604425,4.35,437,"[<span class=""WoYOw"">서울의 중심 명동에 정통 중국요리 라화쿵부가 새롭게 오픈하였습니다. 라화쿵부에는 마라탕, 마라썅꿔, 미쏀, 쇼룽포, 쏸라푼, 량피 등 중국인들이 가장 즐겨먹는 음식들 뿐만아니라 탕수육, 지삼선, 어향육슬 등 볶음류까지 다양한 메뉴가 있습니다. 명동라화쿵부에서는 정통 중국요리를 함껏 즐기실수 있습니다.</span>]"
20510,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.56741517,126.9778549,스타벅스 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20스타벅스,https://m.place.naver.com/restaurant/1465848077,4.33,25,"[<span class=""WoYOw"">원칙을 지키는 농협 목우촌 웰빙마을은 
1+이상의 한우와 목우촌 1등급 암퇘지만을 선별하여
고객님께 최고의 고기, 맛을 선보이기 위해 노력할것입니다.</span>]"
20539,페나비,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,명동,37.55858341,126.9860343,페나비 커피점 카페 커피전문점 카페 다방 비알콜 음료점업,명동%20페나비,https://m.place.naver.com/restaurant/206417241,4.46,27,"[<span class=""WoYOw"">주차불가능</span>]"
20687,본죽,별식/퓨전요리,죽전문점,한식 음식점업,명동,37.56487708,126.9834021,본죽 별식 퓨전요리 죽전문점 한식 음식점업,명동%20본죽,https://m.place.naver.com/restaurant/11727079,null,null,null
21243,1982,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56610742,126.983974,1982 분식 라면김밥분식 분식 및 김밥 전문점,명동%201982,https://m.place.naver.com/restaurant/35386846,4.4,19,[]
21245,남산짬뽕,중식,중국음식/중국집,중식 음식점업,명동,37.55729458,126.9859952,남산짬뽕 중식 중국음식 중국집 중식 음식점업,명동%20남산짬뽕,https://m.place.naver.com/restaurant/13311601,4.41,30,"[<span class=""WoYOw"">집밥지키기PROJECT

1982컵밥은 최대한 우리땅에서 나는 식재료로 당일제조를 원칙으로 합니다.</span>]"
21646,동해,일식/수산물,음식점-일식,일식 음식점업,명동,37.56733037,126.9795088,동해 일식 수산물 음식점-일식 일식 음식점업,명동%20동해,https://m.place.naver.com/restaurant/18687708,4.26,722,"[<span class=""WoYOw"">저희 미나미야마는 1976년 부터 수제 왕 돈까스와 짬뽕라멘을 장인의 정신으로 한그릇 한그릇에 혼을 담아 만들어 왔습니다. 그리고 손님 한분 한분을 내 가족처럼 생각하면 최고의 음식과 최선의 서비스를 제공해 오고 있습니다. 수차례 각종 방송 메스컴에 
소개되면 음식의 질과 서비스를 인정 받았으며 한국에 몇곳 되지 않는 라멘 그리고 수제 왕돈까스 전문점입니다. 남산 타워 남산테이블카 명동역에서 도보로 10분 이내의 거리에 위치하고 있으면 식사 전후로 가족 연인과 서울 야경을 구경하면서 즐거운 시간을 
가질수 있는 환상의 산책로에 위치해 있습니다.</span>]"
21692,곰국시집,분식,라면김밥분식,분식 및 김밥 전문점,명동,37.56305776,126.9855888,곰국시집 분식 라면김밥분식 분식 및 김밥 전문점,명동%20곰국시집,https://m.place.naver.com/restaurant/11707094,4.21,5,[]
21831,발모아왕족발보쌈,한식,족발/보쌈전문,한식 음식점업,명동,37.559492,126.9858635,발모아왕족발보쌈 한식 족발 보쌈전문 한식 음식점업,명동%20발모아왕족발보쌈,https://m.place.naver.com/restaurant/18040720,4.31,311,[]
21846,OB타임,유흥주점,호프/맥주,기타 주점업,명동,37.56015412,126.9853226,OB타임 유흥주점 호프 맥주 기타 주점업,명동%20OB타임,https://m.place.naver.com/restaurant/32241299,4.53,27,[]
22055,맘스터치,한식,한식/백반/한정식,한식 음식점업,명동,37.5670407,126.9793542,맘스터치 한식 한식 백반 한정식 한식 음식점업,명동%20맘스터치,https://m.place.naver.com/restaurant/1782972866,4.33,1,[]
